datetime,ticker,price,daily_returns
2022-05-18,AUDUSD,0.6954,
2022-05-19,AUDUSD,0.7047,0.013373597929249303
2022-05-20,AUDUSD,0.7032,-0.002128565346956046
2022-05-23,AUDUSD,0.7107,0.010665529010238872
2022-05-24,AUDUSD,0.71051,-0.00026734205712686254
2022-05-25,AUDUSD,0.70833,-0.003068218603538231
2022-05-26,AUDUSD,0.70924,0.0012847119280561259
2022-05-27,AUDUSD,0.716,0.009531329310247472
2022-05-30,AUDUSD,0.7194,0.004748603351955483
2022-05-31,AUDUSD,0.7174,-0.0027800945232138163
2022-06-01,AUDUSD,0.71733,-9.757457485370935e-05
2022-06-02,AUDUSD,0.72629,0.012490764362287798
2022-06-03,AUDUSD,0.7206,-0.007834336146718246
2022-06-06,AUDUSD,0.71926,-0.0018595614765473112
2022-06-07,AUDUSD,0.72296,0.005144175958624153
2022-06-08,AUDUSD,0.71896,-0.005532809560694907
2022-06-09,AUDUSD,0.70968,-0.012907533103371671
2022-06-10,AUDUSD,0.7051,-0.0064536128959531425
2022-06-13,AUDUSD,0.69259,-0.017742164232023683
2022-06-14,AUDUSD,0.68737,-0.007536926608816219
2022-06-15,AUDUSD,0.70049,0.019087245588256474
2022-06-16,AUDUSD,0.7047,0.006010078659224316
2022-06-17,AUDUSD,0.6931,-0.016460905349794164
2022-06-20,AUDUSD,0.6952,0.003029865820227906
2022-06-21,AUDUSD,0.6965,0.0018699654775604646
2022-06-22,AUDUSD,0.69235,-0.005958363244795373
2022-06-23,AUDUSD,0.68953,-0.004073084422618667
2022-06-24,AUDUSD,0.6947,0.007497860861746419
2022-06-27,AUDUSD,0.69216,-0.0036562544983446132
2022-06-28,AUDUSD,0.6905,-0.0023982894128524723
2022-06-29,AUDUSD,0.68763,-0.004156408399710432
2022-06-30,AUDUSD,0.69004,0.0035047918211830176
2022-07-01,AUDUSD,0.6813,-0.012665932409715364
2022-07-04,AUDUSD,0.68638,0.007456333480111432
2022-07-05,AUDUSD,0.6797,-0.009732218304729146
2022-07-06,AUDUSD,0.67819,-0.0022215683389731344
2022-07-07,AUDUSD,0.68381,0.008286763296421418
2022-07-08,AUDUSD,0.6856,0.0026176861993827405
2022-07-11,AUDUSD,0.673,-0.01837806301050171
2022-07-12,AUDUSD,0.6756,0.0038632986627042953
2022-07-13,AUDUSD,0.67552,-0.00011841326228534399
2022-07-14,AUDUSD,0.67446,-0.0015691615348176757
2022-07-15,AUDUSD,0.67887,0.006538564184681128
2022-07-18,AUDUSD,0.68115,0.0033585222502099388
2022-07-19,AUDUSD,0.68983,0.01274315495852596
2022-07-20,AUDUSD,0.6887,-0.0016380847455170766
2022-07-21,AUDUSD,0.6933,0.0066792507623059105
2022-07-22,AUDUSD,0.6924,-0.0012981393336217728
2022-07-25,AUDUSD,0.6956,0.0046216060080876975
2022-07-26,AUDUSD,0.69363,-0.0028320874065554946
2022-07-27,AUDUSD,0.6992,0.008030217839482212
2022-07-28,AUDUSD,0.69884,-0.0005148741418764535
2022-07-29,AUDUSD,0.6984,-0.0006296147902238314
2022-08-01,AUDUSD,0.70244,0.005784650630011434
2022-08-02,AUDUSD,0.69175,-0.015218381641136536
2022-08-03,AUDUSD,0.69488,0.004524756053487566
2022-08-04,AUDUSD,0.69651,0.0023457287589223608
2022-08-05,AUDUSD,0.6908,-0.008198015821739846
2022-08-08,AUDUSD,0.69816,0.010654313839027374
2022-08-09,AUDUSD,0.69631,-0.0026498223902831075
2022-08-10,AUDUSD,0.7077,0.01635765679079726
2022-08-11,AUDUSD,0.7103,0.0036738731100749433
2022-08-12,AUDUSD,0.7121,0.002534140504012239
2022-08-15,AUDUSD,0.70211,-0.01402892852127502
2022-08-16,AUDUSD,0.70228,0.0002421273019896919
2022-08-17,AUDUSD,0.69315,-0.013000512616050508
2022-08-18,AUDUSD,0.6914,-0.002524706052081105
2022-08-19,AUDUSD,0.6872,-0.0060746311831066935
2022-08-22,AUDUSD,0.68735,0.00021827706635613175
2022-08-23,AUDUSD,0.69263,0.007681676002036841
2022-08-24,AUDUSD,0.69061,-0.002916420022234134
2022-08-25,AUDUSD,0.69801,0.010715164854259385
2022-08-26,AUDUSD,0.689,-0.01290812452543666
2022-08-29,AUDUSD,0.69004,0.0015094339622641062
2022-08-30,AUDUSD,0.6853,-0.006869167004811216
2022-08-31,AUDUSD,0.6842,-0.0016051364365970988
2022-09-01,AUDUSD,0.67826,-0.008681672025723564
2022-09-02,AUDUSD,0.6808,0.003744876595995539
2022-09-05,AUDUSD,0.67946,-0.0019682726204465206
2022-09-06,AUDUSD,0.67352,-0.00874223648191208
2022-09-07,AUDUSD,0.67682,0.00489963178524766
2022-09-08,AUDUSD,0.67462,-0.003250494961732797
2022-09-09,AUDUSD,0.684,0.013904123803029966
2022-09-12,AUDUSD,0.68857,0.006681286549707455
2022-09-13,AUDUSD,0.67331,-0.022161871705128067
2022-09-14,AUDUSD,0.67469,0.0020495759754051157
2022-09-15,AUDUSD,0.6698,-0.0072477730513274
2022-09-16,AUDUSD,0.6718,0.002985965959988013
2022-09-19,AUDUSD,0.6726,0.0011908306043466599
2022-09-20,AUDUSD,0.66869,-0.005813261968480532
2022-09-21,AUDUSD,0.66314,-0.008299810076418113
2022-09-22,AUDUSD,0.6642,0.001598455831347989
2022-09-23,AUDUSD,0.65283,-0.01711833785004513
2022-09-26,AUDUSD,0.64535,-0.011457806779712976
2022-09-27,AUDUSD,0.64316,-0.0033935073990858378
